"prolific_id"	"Progress"	"Duration"	"Finished"	"RecordedDate"	"UserLanguage"	"consent"	"gender"	"age"	"look_after_health"	"checkup"	"smoker"	"environment_1"	"env_transport"	"extrinsic_risk"	"children"	"age_first_child"	"breastfeed_yesno"	"breastfeed_length"	"ideal_age"	"parents_dead"	"parent1_age_1"	"parent1_age_2"	"parent1_control_1"	"parent1_close_1"	"parent2_age_1"	"parent2_age_2"	"parent2_control_1"	"parent2_close_1"	"gp_dead"	"gp1_age_1"	"gp1_age_2"	"gp1_control_1"	"gp1_close_1"	"gp2_age_1"	"gp2_age_2"	"gp2_control_1"	"gp2_close_1"	"gp3_age_1"	"gp3_age_2"	"gp3_control_1"	"gp3_close_1"	"gp4_age_1"	"gp4_age_2"	"gp4_control_1"	"gp4_close_1"	"stress"	"income"	"household"	"attention_fruit"	"attention_smoker"	"attention_4"	"PROLIFIC_PID"	"status"	"time_taken"	"num_approvals"	"num_rejections"	"prolific_score"	"Country.of.Birth"	"Current.Country.of.Residence"	"Employment.Status"	"ethnicity"	"First.Language"	"Nationality"	"Student.Status"	"personal_income"	"SES_subj"	"YPLL_p1"	"YPLL_p2"	"YPLL_gp1"	"YPLL_gp2"	"YPLL_gp3"	"YPLL_gp4"	"YPLL_sum"	"YPLL_dummy"	"n_deaths"	"p1_prem"	"p2_prem"	"gp1_prem"	"gp2_prem"	"gp3_prem"	"gp4_prem"	"prem_sum"	"patience_score"	"look_after_health_new"	"look_after_health_x2"	"look_after_health_x3"	"YPLL_sqrt"	"YPLL_log"	"income_sqrt"	"income_log"	"extrinsic_risk_sqrt"	"extrinsic_risk_log"	"patience_score_bi"	"age_child1_sqrt"
"54240de1fdf99b691fb383a8"	"100"	300	"True"	"2020-12-30 19:53:06"	"EN-GB"	"Yes, I consent to participate."	"Female"	58	82	2	"0"	71	77	18	"1"	27	"1"	1	NA	1	"Father"	88	41	94	""	NA	NA	NA	4	"Grandmother 1"	76	29	10	"Grandmother 2"	89	9	0	"Grandfather 1"	80	10	0	"Grandfather 2"	85	7	0	3	24999.5	3	"Strongly agree"	"No"	4	"54240de1fdf99b691fb383a8"	"APPROVED"	305.785	1786	11	100	"United Kingdom"	"United Kingdom"	"Not in paid work (e.g. homemaker', 'retired or disabled)"	"White"	"English"	"United Kingdom"	"No"	8333.16666666667	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	25	2.94443897916644	6724	551368	0	0	91.2861800420341	9.02799881498223	4.24264068711928	2.94443897916644	"high"	5.19615242270663
"542bbe97fdf99b324f7632af"	"100"	429	"True"	"2020-12-30 19:58:27"	"EN-GB"	"Yes, I consent to participate."	"Male"	62	71	10	"0"	60	19	11	"1"	38	NA	NA	NA	1	"Father"	84	14	70	""	NA	NA	NA	4	"Grandfather 1"	70	34	6	"Grandmother 2"	76	29	1	"Grandmother 2"	71	19	2	"Grandfather 2"	58	15	0	2	34999.5	3	"Strongly agree"	"No"	4	"542bbe97fdf99b324f7632af"	"APPROVED"	434.108	1372	15	99	"United Kingdom"	"United Kingdom"	"Full-Time"	"White"	"English"	"United Kingdom"	"No"	11666.5	5	0	0	5	0	4	17	26	1	5	0	0	1	0	1	1	3	19	3.40119738166216	5041	357911	5.09901951359278	3.29583686600433	108.011573453959	9.36447676598711	3.3166247903554	2.484906649788	"high"	6.16441400296898
"54724267fdf99b3a1b8e86bf"	"100"	290	"True"	"2020-12-30 19:54:03"	"EN-GB"	"Yes, I consent to participate."	"Female"	49	90	1	"0"	95	20	20	"0"	NA	NA	NA	30	0	""	NA	NA	NA	""	NA	NA	NA	4	"Grandfather 1"	70	100	100	"Grandmother 2"	76	70	20	"Grandfather 2"	81	70	20	"Grandmother 2"	NA	10	100	3	24999.5	4	"Strongly agree"	"No"	4	"54724267fdf99b3a1b8e86bf"	"APPROVED"	294.823	493	3	100	"United Kingdom"	"United Kingdom"	"Full-Time"	"White"	"English"	"United Kingdom"	"No"	6249.875	4	0	0	5	0	0	NA	NA	NA	4	0	0	1	0	0	NA	NA	1	2.39789527279837	8100	729000	NA	NA	79.0561509308416	8.74031674253044	4.47213595499958	3.04452243772342	"low"	NA
"55808cf7fdf99b4d4eb7c77c"	"100"	369	"True"	"2020-12-30 20:03:57"	"EN-GB"	"Yes, I consent to participate."	"Male"	60	68	1	"0"	77	86	37	"1"	33	NA	NA	NA	2	"Mother"	79	77	88	"Father"	85	80	88	4	"Grandfather 1"	77	80	73	"Grandmother 1"	86	53	79	"Grandmother 2"	73	51	8	"Grandmother 2"	75	64	52	4	12999.5	1	"Strongly agree"	"No"	4	"55808cf7fdf99b4d4eb7c77c"	"APPROVED"	373.033	725	3	100	"United Kingdom"	"United Kingdom"	"Full-Time"	"White"	"English"	"United Kingdom"	"No"	12999.5	2	0	0	0	0	2	0	2	1	6	0	0	0	0	1	0	1	23	3.49650756146648	4624	314432	1.4142135623731	1.09861228866811	114.015349843782	9.47266617416555	6.08276253029822	3.63758615972639	"high"	5.74456264653803
"55885582fdf99b4021921fbd"	"100"	519	"True"	"2020-12-30 20:30:57"	"EN-GB"	"Yes, I consent to participate."	"Female"	65	80	3	"0"	20	50	80	"1"	24	"1"	1	NA	2	"Father"	43	5	90	"Mother"	66	90	100	4	"Grandmother 1"	66	88	90	"Grandmother 2"	NA	5	0	"Grandfather 1"	55	0	0	"Grandfather 2"	80	10	30	3	34999.5	2	"Strongly agree"	"No"	4	"55885582fdf99b4021921fbd"	"APPROVED"	526.622	2070	4	100	"United Kingdom"	"United Kingdom"	"Not in paid work (e.g. homemaker', 'retired or disabled)"	"White"	"English"	"United Kingdom"	"No"	17499.75	7	32	9	9	NA	20	0	NA	NA	6	1	1	1	NA	1	0	NA	32	3.04452243772342	6400	512000	NA	NA	132.286620638672	9.76994187409528	8.94427190999916	4.39444915467244	"high"	4.89897948556636
"559cdad9fdf99b66f54b7794"	"100"	333	"True"	"2020-12-30 19:47:47"	"EN-GB"	"Yes, I consent to participate."	"Female"	39	70	2	"0"	60	20	0	"0"	NA	NA	NA	32	0	""	NA	NA	NA	""	NA	NA	NA	2	"Grandmother 2"	72	80	0	"Grandfather 2"	NA	90	0	""	NA	NA	NA	""	NA	NA	NA	3	44999.5	2	"Strongly agree"	"No"	4	"559cdad9fdf99b66f54b7794"	"APPROVED"	339.441	735	3	100	"United Kingdom"	"United Kingdom"	"Part-Time"	"Asian"	"English"	"United Kingdom"	"No"	22499.75	6	0	0	3	NA	0	0	NA	NA	2	0	0	1	NA	0	0	NA	23	3.43398720448515	4900	343000	NA	NA	149.999166664352	10.0212594770197	0	0	"high"	NA
"55b0ecccfdf99b2116e4123f"	"100"	362	"True"	"2020-12-30 19:22:21"	"EN-GB"	"Yes, I consent to participate."	"Female"	33	61	10	"0"	43	40	28	"1"	26	"0"	0	NA	0	""	NA	NA	NA	""	NA	NA	NA	1	"Grandfather 1"	59	60	16	""	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	3	34999.5	4	"Strongly agree"	"No"	4	"55b0ecccfdf99b2116e4123f"	"APPROVED"	379.995	1018	9	99	"United Kingdom"	"United Kingdom"	"Unemployed (and job seeking)"	"White"	"English"	"United Kingdom"	"No"	8749.875	5	0	0	16	0	0	0	16	1	1	0	0	1	0	0	0	1	5	3.68887945411394	3721	226981	4	2.83321334405622	93.5407665138575	9.07679469353533	5.29150262212918	3.36729582998647	"low"	5.09901951359278
"563fecf4074be600055e98c7"	"100"	319	"True"	"2020-12-30 20:27:50"	"EN-GB"	"Yes, I consent to participate."	"Female"	60	60	1	"0"	67	1	18	"1"	23	"1"	4	NA	2	"Father"	32	91	0	"Mother"	65	50	50	4	"Grandmother 1"	55	0	0	"Grandmother 2"	57	0	0	"Grandfather 1"	50	81	0	"Grandfather 2"	55	92	0	2	24999.5	2	"Strongly agree"	"No"	4	"563fecf4074be600055e98c7"	"APPROVED"	331.819	355	10	96	"United Kingdom"	"United Kingdom"	"Full-Time"	"White"	"English"	"United Kingdom"	"No"	12499.75	5	43	10	20	18	25	20	136	1	6	1	1	1	1	1	1	6	5	3.71357206670431	3600	216000	11.6619037896906	4.91998092582813	111.802280835411	9.43346392309039	4.24264068711928	2.94443897916644	"low"	4.79583152331272
"568a9909316b10000c50ae46"	"100"	984	"True"	"2020-12-30 20:24:00"	"EN-GB"	"Yes, I consent to participate."	"Female"	71	75	1	"0"	80	70	10	"1"	29	"1"	24	NA	2	"Mother"	81	85	100	"Father"	84	60	100	4	"Grandfather 1"	45	40	0	"Grandmother 2"	75	10	60	"Grandfather 1"	64	50	85	"Grandfather 2"	65	50	0	2	24999.5	1	"Strongly agree"	"No"	4	"568a9909316b10000c50ae46"	"APPROVED"	988.757	580	9	98	"United Kingdom"	"United Kingdom"	"Not in paid work (e.g. homemaker', 'retired or disabled)"	"White"	"English"	"United Kingdom"	"No"	24999.5	7	0	0	30	0	11	10	51	1	6	0	0	1	0	1	1	3	32	3.25809653802148	5625	421875	7.14142842854285	3.95124371858143	158.112301861683	10.1266111036503	3.16227766016838	2.39789527279837	"high"	5.3851648071345
"568e997ce3ef9e000ca204d4"	"100"	343	"True"	"2020-12-30 20:25:30"	"EN-GB"	"Yes, I consent to participate."	"Male"	68	93	1	"0"	40	11	0	"1"	28	NA	NA	NA	2	"Father"	89	15	100	"Mother"	86	8	100	4	"Grandmother 1"	87	50	50	"Grandmother 2"	85	50	50	"Grandfather 1"	86	50	50	"Grandfather 2"	82	50	49	0	17999.5	1	"Strongly agree"	"No"	4	"568e997ce3ef9e000ca204d4"	"APPROVED"	353.044	1159	33	95	"United Kingdom"	"United Kingdom"	"Not in paid work (e.g. homemaker', 'retired or disabled)"	"White"	"English"	"United Kingdom"	"No"	17999.5	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	2.07944154167984	8649	804357	0	0	134.162215247066	9.79809925871471	0	0	"low"	5.29150262212918
